Date,Open*,High,Low,Close**,Volume,Market Cap
31-08-17,"4,555.59","4,736.05","4,549.40","4,703.39",1944930000.00,75322300000.00
30-08-17,"4,570.36","4,626.52","4,471.41","4,565.30",1937850000.00,75556600000.00
29-08-17,"4,389.21","4,625.68","4,352.13","4,579.02",2486080000.00,72553800000.00
28-08-17,"4,384.45","4,403.93","4,224.64","4,382.66",1959330000.00,72467900000.00
27-08-17,"4,345.10","4,416.59","4,317.29","4,382.88",1537460000.00,71809200000.00
26-08-17,"4,372.06","4,379.28","4,269.52","4,352.40",1511610000.00,72249100000.00
25-08-17,"4,332.82","4,455.70","4,307.35","4,371.60",1727970000.00,71595100000.00
24-08-17,"4,137.60","4,376.39","4,130.26","4,334.68",2037750000.00,68363900000.00
23-08-17,"4,089.01","4,255.78","4,078.41","4,151.52",2369820000.00,67553000000.00
22-08-17,"3,998.35","4,128.76","3,674.58","4,100.52",3764240000.00,66051000000.00
21-08-17,"4,090.48","4,109.14","3,988.60","4,001.74",2800890000.00,67567100000.00
20-08-17,"4,189.31","4,196.29","4,069.88","4,087.66",2109770000.00,69192700000.00
19-08-17,"4,137.75","4,243.26","3,970.55","4,193.70",2975820000.00,68333100000.00
18-08-17,"4,324.34","4,370.13","4,015.40","4,160.62",2941710000.00,71406500000.00
17-08-17,"4,384.44","4,484.70","4,243.71","4,331.69",2553360000.00,72389100000.00
16-08-17,"4,200.34","4,381.23","3,994.42","4,376.63",2272040000.00,69342700000.00
15-08-17,"4,326.99","4,455.97","3,906.18","4,181.93",3258050000.00,71425500000.00
14-08-17,"4,066.10","4,325.13","3,989.16","4,325.13",2463090000.00,67112300000.00
13-08-17,"3,880.04","4,208.39","3,857.80","4,073.26",3159090000.00,64034100000.00
